,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id,pred_from_3
3166,livingroom,bedroom,0.7526462078094482,livingroom,0.2281172126531601,empty,0.006804310716688633,False,True,False,./data/test_data/livingroom/06afa56bda56f1674389dd29185f4f8d2145137b.jpg,06afa56bda56f1674389dd29185f4f8d2145137b.jpg,06afa56bda56f1674389dd29185f4f8d2145137b,livingroom
1947,empty,entrance,0.4634725749492645,misc_int,0.290790855884552,empty,0.16174551844596866,False,False,True,./data/test_data/empty/078cf393fd39ae40a0387b708f46954791177752.jpg,078cf393fd39ae40a0387b708f46954791177752.jpg,078cf393fd39ae40a0387b708f46954791177752,empty
299,bathroom,bedroom,0.5538192391395569,bathroom,0.17781470715999606,misc_int,0.10557392239570618,False,True,False,./data/test_data/bathroom/0798429be2c55b94b49d0950c144279cf22cb483.jpg,0798429be2c55b94b49d0950c144279cf22cb483.jpg,0798429be2c55b94b49d0950c144279cf22cb483,bathroom
1011,bedroom,livingroom,0.3348664343357086,bedroom,0.1796371191740036,entrance,0.16791081428527832,False,True,False,./data/test_data/bedroom/074884b2864d0c2b8095db9e08afcfea78266b57.jpg,074884b2864d0c2b8095db9e08afcfea78266b57.jpg,074884b2864d0c2b8095db9e08afcfea78266b57,bedroom
1525,diningroom,kitchen,0.503382682800293,diningroom,0.4445724785327912,livingroom,0.03325363248586655,False,True,False,./data/test_data/diningroom/05820c06713af09c8d8fcea152837008bf797b4e.jpg,05820c06713af09c8d8fcea152837008bf797b4e.jpg,05820c06713af09c8d8fcea152837008bf797b4e,diningroom
3005,livingroom,bedroom,0.21032561361789706,misc_int,0.17359589040279388,livingroom,0.16635242104530334,False,False,True,./data/test_data/livingroom/0549e634116729efbfe981d8adca9aad9b3e1e60.jpg,0549e634116729efbfe981d8adca9aad9b3e1e60.jpg,0549e634116729efbfe981d8adca9aad9b3e1e60,livingroom
2974,livingroom,diningroom,0.3820872604846953,livingroom,0.36287012696266174,study,0.13659057021141052,False,True,False,./data/test_data/livingroom/04bdcd9cbc0f02073c96852cca9c944d9060a549.jpg,04bdcd9cbc0f02073c96852cca9c944d9060a549.jpg,04bdcd9cbc0f02073c96852cca9c944d9060a549,livingroom
1212,bedroom,misc_int,0.3312028646469116,bedroom,0.2837037444114685,livingroom,0.18321864306926727,False,True,False,./data/test_data/bedroom/089c1990afe6cecd2f16cd14b7c17e060fafd340.jpg,089c1990afe6cecd2f16cd14b7c17e060fafd340.jpg,089c1990afe6cecd2f16cd14b7c17e060fafd340,bedroom
